date,OT,blkio.throttle.io_service_bytes_Async,blkio.throttle.io_service_bytes_Read,container_cpu_usage_seconds_total,container_memory_active_file,container_memory_hierarchical_memory_limit,container_memory_rss,container_network_tcp_TimeWait,cpu.busy,mem.memused,net.if.in.bytes
2018-07-24 00:00:00,1.88,1410914885632.0,269083619328.0,4.770190036e+16,5267931136.0,68719476736.0,12326649856.0,56.0,47.96,29.21,15861791.27
2018-07-24 00:00:30,1.88,1410914885632.0,269083619328.0,4.770200585e+16,5267939328.0,68719476736.0,12370173952.0,100.0,359.09,29.27,7141782.57
2018-07-24 00:01:00,1.88,733910450176.0,246868844544.0,4.77020813e+16,5267963904.0,68719476736.0,12369551360.0,142.0,259.09,29.27,13409645.3
2018-07-24 00:01:30,1.86,1410914885632.0,246868844544.0,4.770213126e+16,5267976192.0,68719476736.0,12265271296.0,143.0,170.73,29.12,6102471.9
2018-07-24 00:02:00,1.89,1410914885632.0,269083619328.0,4.770217431e+16,5267992576.0,68719476736.0,12265271296.0,0.0,151.74,29.12,23778259.5
2018-07-24 00:02:30,1.96,1410914885632.0,246868844544.0,4.770235418e+16,5268013056.0,68719476736.0,12371841024.0,0.0,617.79,29.27,30083041.53
2018-07-24 00:03:00,2.03,1410914885632.0,269083619328.0,4.770248952e+16,5268025344.0,68719476736.0,12354301952.0,156.0,459.92,29.25,19020598.5
2018-07-24 00:03:30,2.0,1410914885632.0,246868844544.0,4.770255167e+16,5268049920.0,68719476736.0,12218929152.0,159.0,212.68,29.05,8215151.17
2018-07-24 00:04:00,1.93,1410914885632.0,269083619328.0,4.770258935e+16,5268062208.0,68719476736.0,12223266816.0,126.0,132.84,29.06,21028131.13
2018-07-24 00:04:30,1.97,1410914885632.0,269083619328.0,4.770277599e+16,5268078592.0,68719476736.0,12416237568.0,111.0,638.54,29.34,13741520.4
2018-07-24 00:05:00,1.9,733910802432.0,246868844544.0,4.770283526e+16,5268094976.0,68719476736.0,12234612736.0,152.0,202.71,29.07,6263370.27
2018-07-24 00:05:30,1.84,733910827008.0,246868844544.0,4.770286233e+16,5268107264.0,68719476736.0,12234612736.0,145.0,92.88,29.07,2892125.53
2018-07-24 00:06:00,1.88,1410914885632.0,269083619328.0,4.77028845e+16,5268123648.0,68719476736.0,12276817920.0,100.0,81.83,29.14,17755809.43
2018-07-24 00:06:30,1.85,733910876160.0,269083619328.0,4.77029741e+16,5268127744.0,68719476736.0,12276355072.0,98.0,301.27,29.14,3475842.87
2018-07-24 00:07:00,1.79,733910884352.0,246868844544.0,4.770297718e+16,5268135936.0,68719476736.0,12232486912.0,108.0,12.44,29.07,6106537.43
2018-07-24 00:07:30,1.76,794825080832.0,246868844544.0,4.770301072e+16,5268135936.0,68719476736.0,12325879808.0,95.0,114.07,29.21,1278547.37
2018-07-24 00:08:00,1.74,1410914885632.0,269083619328.0,4.770301346e+16,5268152320.0,68719476736.0,12286705664.0,0.0,13.35,29.15,8901481.07
2018-07-24 00:08:30,1.88,1410914885632.0,246868844544.0,4.770318263e+16,5268172800.0,68719476736.0,12460613632.0,83.0,582.71,29.4,35070341.03
2018-07-24 00:09:00,1.88,1410914885632.0,269083619328.0,4.770329374e+16,5268209664.0,68719476736.0,12332777472.0,151.0,376.79,29.22,15028802.83
2018-07-24 00:09:30,1.82,733911085056.0,269083619328.0,4.770331485e+16,5268217856.0,68719476736.0,12288503808.0,150.0,71.53,29.15,4499.37
2018-07-24 00:10:00,1.76,733911085056.0,269083619328.0,4.770331567e+16,5268226048.0,68719476736.0,12288503808.0,63.0,5.02,29.15,3985963.67
2018-07-24 00:10:30,1.9,733911158784.0,269083619328.0,4.770345475e+16,5268271104.0,68719476736.0,12478287872.0,70.0,477.79,29.43,39234215.6
2018-07-24 00:11:00,1.84,1410914885632.0,269083619328.0,4.770354512e+16,5268295680.0,68719476736.0,12305956864.0,127.0,302.69,29.18,10364.0
2018-07-24 00:11:30,1.78,733911199744.0,269083619328.0,4.770354594e+16,5268299776.0,68719476736.0,12305952768.0,106.0,3.9,29.18,2815.9
2018-07-24 00:12:00,1.72,1410914885632.0,269083619328.0,4.770354685e+16,5268172800.0,68719476736.0,12306501632.0,58.0,4.7,29.18,44869.53
2018-07-24 00:12:30,1.79,733911199744.0,269083619328.0,4.770366688e+16,5268238336.0,68719476736.0,12440547328.0,68.0,414.55,29.38,29915348.87
2018-07-24 00:13:00,1.83,1410914885632.0,246868844544.0,4.770378168e+16,5268230144.0,68719476736.0,12400504832.0,130.0,392.39,29.32,21688002.03
2018-07-24 00:13:30,1.77,1410914885632.0,269083619328.0,4.770382146e+16,5268234240.0,68719476736.0,12355571712.0,145.0,134.55,29.25,2071933.83
2018-07-24 00:14:00,2.17,733911220224.0,269083619328.0,4.77038325e+16,5268246528.0,68719476736.0,12397584384.0,75.0,43.49,29.31,16623548.5
2018-07-24 00:14:30,2.23,1410914885632.0,269083619328.0,4.770423756e+16,5268275200.0,68719476736.0,12436963328.0,93.0,1401.35,29.37,26416034.77
2018-07-24 00:15:00,2.19,1410914885632.0,250531377152.0,4.770433292e+16,5268295680.0,68719476736.0,12347125760.0,138.0,321.57,29.24,6851161.27
2018-07-24 00:15:30,2.15,1410914885632.0,269083619328.0,4.770437477e+16,5268303872.0,68719476736.0,12347125760.0,141.0,143.9,29.24,6930527.2
2018-07-24 00:16:00,2.08,1410914885632.0,269083619328.0,4.7704392e+16,5268316160.0,68719476736.0,12342857728.0,119.0,60.72,29.23,8943770.57
2018-07-24 00:16:30,2.18,1410914885632.0,246868844544.0,4.770455815e+16,5268344832.0,68719476736.0,12471418880.0,89.0,572.85,29.42,38062363.5
2018-07-24 00:17:00,2.17,1410914885632.0,269083619328.0,4.770465385e+16,5268369408.0,68719476736.0,12385443840.0,0.0,326.11,29.29,14996515.17
2018-07-24 00:17:30,2.13,733912272896.0,269083619328.0,4.770471437e+16,5268373504.0,68719476736.0,12341100544.0,173.0,206.86,29.23,8169604.17
2018-07-24 00:18:00,2.16,733912301568.0,246868844544.0,4.770474523e+16,5268402176.0,68719476736.0,12336033792.0,123.0,110.76,29.22,26787881.0
2018-07-24 00:18:30,2.29,1410914885632.0,269083619328.0,4.77049743e+16,5268418560.0,68719476736.0,12465131520.0,99.0,782.66,29.41,21012765.97
2018-07-24 00:19:00,2.31,1410914885632.0,269083619328.0,4.770514251e+16,5268434944.0,68719476736.0,12379111424.0,147.0,579.04,29.29,19114902.6
2018-07-24 00:19:30,2.24,1410914885632.0,269083619328.0,4.770516588e+16,5268451328.0,68719476736.0,12334624768.0,0.0,78.83,29.22,8499.63
2018-07-24 00:20:00,2.2,733912489984.0,246868844544.0,4.770519343e+16,5268467712.0,68719476736.0,12334026752.0,94.0,98.31,29.22,6667094.77
