date,OT,blkio.throttle.io_service_bytes_Async,blkio.throttle.io_service_bytes_Read,container_cpu_usage_seconds_total,container_memory_active_file,container_memory_hierarchical_memory_limit,container_memory_rss,container_network_tcp_TimeWait,cpu.busy,mem.memused,net.if.in.bytes
2018-07-24 00:17:00,3.77,55459840.0,32145408.0,4.017146889e+16,15564025856.0,68719476736.0,10564083712.0,0.0,486.01,77.55,17116214.37
2018-07-24 00:17:30,3.64,55459840.0,32145408.0,4.017147921e+16,15564029952.0,68719476736.0,10564034560.0,4.0,35.79,77.55,363.67
2018-07-24 00:18:00,4.12,55459840.0,4498563072.0,4.017154021e+16,15564062720.0,68719476736.0,10564165632.0,7.0,221.89,77.55,53898063.73
2018-07-24 00:18:30,4.57,55459840.0,32145408.0,4.017175435e+16,15564066816.0,68719476736.0,10563825664.0,12.0,727.98,77.55,37314841.7
2018-07-24 00:19:00,4.58,55459840.0,4498563072.0,4.017197416e+16,15564075008.0,68719476736.0,10564243456.0,12.0,740.91,77.55,22147897.4
2018-07-24 00:19:30,4.47,55459840.0,32145408.0,4.017203823e+16,15564075008.0,68719476736.0,10564288512.0,10.0,214.5,77.55,4642.47
2018-07-24 00:20:00,4.48,28204290048.0,32145408.0,4.017205791e+16,15564156928.0,68719476736.0,10564812800.0,6.0,77.63,77.56,38223042.6
2018-07-24 00:20:30,4.57,28204294144.0,32145408.0,4.017227392e+16,15564177408.0,68719476736.0,10563235840.0,10.0,733.13,77.56,30596874.63
2018-07-24 00:21:00,4.65,55459840.0,4738228224.0,4.017248912e+16,15564181504.0,68719476736.0,10563907584.0,11.0,734.16,77.56,37653664.37
2018-07-24 00:21:30,4.63,55459840.0,32145408.0,4.017264275e+16,15564185600.0,68719476736.0,10564083712.0,15.0,521.11,77.56,29536991.2
2018-07-24 00:22:00,5.06,55459840.0,32145408.0,4.017278869e+16,15564234752.0,68719476736.0,10565132288.0,0.0,511.31,77.56,52803328.4
